ClusterNum,Глубина резания,Подача,Скорость резания (GC4005),Скорость резания (GC4015),Скорость резания (GC4225),Скорость резания (GC4235),
0,2.5,0.6,320,290,250,0,0
0,2.5,0.8,270,245,215,1,0
0,2.5,0.8,270,245,215,2,0
0,3,0.8,270,245,0,3,0
0,3,0.9,250,230,200,4,0
0,2.5,0.8,270,245,0,5,0
0,2.5,0.9,250,230,0,185,0
1,5,0.4,0,355,0,170,185
1,5,0.5,0,320,305,0,170
1,5,0.55,0,305,275,185,0
1,6,0.4,0,355,265,170,185
1,6,0.5,0,320,305,160,170
1,6,0.55,0,305,275,170,160
1,6,0.5,0,320,265,160,170
1,6,0.55,0,305,275,160,160
1,6,0.55,0,305,265,185,160
1,5,0.4,0,355,265,170,185
1,5,0.5,0,320,305,160,170
1,5,0.55,0,305,275,185,160
1,5,0.4,0,355,265,170,185
1,5,0.5,0,320,305,170,170
1,6,0.55,0,320,275,160,170
1,6,0.5,0,305,275,170,160
1,6,0.55,0,320,265,160,170
1,6,0.55,0,305,275,160,160
1,4,0.4,0,305,265,185,160
1,4,0.5,0,355,265,170,185
1,5,0.4,0,320,305,185,170
1,5,0.5,0,355,275,170,185
1,5,0.55,0,320,305,160,170
