ClusterNum,Глубина резания,Подача,Скорость резания (CC650),Скорость резания (GC3215)
0,1,0.3,0,190
0,0.4,0.15,0,225
0,1,0.3,0,190
0,1.5,0.5,0,160
0,1,0.2,0,215
0,1,0.3,0,190
0,1.5,0.3,0,190
0,1.5,0.4,0,175
0,1,0.2,0,215
0,1.5,0.3,0,190
0,0.4,0.15,0,225
0,1,0.3,0,190
0,0.4,0.15,0,225
0,1,0.3,0,190
0,1.5,0.5,0,160
1,0.5,0.15,0,225
1,0.5,0.2,0,215
1,1,0.25,0,200
1,3.6,0.2,610,0
1,3.6,0.3,540,0
1,4.8,0.2,610,0
1,4.8,0.3,540,0
1,0.5,0.15,0,225
1,0.5,0.2,0,215
1,0.5,0.15,0,225
1,0.5,0.2,0,215
1,3.6,0.2,610,0
1,3.6,0.3,540,0
1,0.5,0.15,0,225
1,0.5,0.2,0,215
1,4.8,0.2,610,0
1,4.8,0.3,540,0
1,0.5,0.15,0,225
1,0.5,0.15,0,225
1,0.5,0.2,0,215
1,1,0.25,0,200
