ClusterNum,Глубина резания,Подача,Скорость резания (GC1025),Скорость резания (GC1015),Скорость резания (GC2025)
0,0.5,0.15,245,0,0
0,1,0.3,170,0,0
0,0.4,0.15,245,290,0
0,1,0.3,170,220,0
0,1,0.2,220,270,0
0,1,0.3,170,290,0
0,1.5,0.3,170,270,0
0,1,0.2,220,290,0
0,1.5,0.3,170,270,0
0,0.4,0.15,245,290,0
0,1,0.3,170,270,0
0,0.4,0.15,245,290,210
0,1,0.3,170,270,240
1,0.4,0.1,265,290,265
1,0.4,0.2,220,290,240
1,0.4,0.1,265,290,265
1,0.4,0.2,220,290,240
1,0.4,0.1,265,290,265
1,0.4,0.2,220,290,240
1,0.4,0.1,265,290,265
1,0.4,0.2,220,290,240
1,0.4,0.1,265,290,265
1,0.4,0.2,220,290,240
1,0.4,0.1,265,290,265
1,0.8,0.15,245,290,260
1,0.4,0.1,265,290,265
1,0.4,0.2,220,290,242
1,0.4,0.1,265,290,262
1,0.4,0.2,220,290,240
